1,5.8,2.7,4.1,1.0
0,4.8,3.4,1.6,0.2
1,6.0,2.2,4.0,1.0
2,6.4,3.1,5.5,1.8
2,6.7,2.5,5.8,1.8
2,6.3,3.3,6.0,2.5
2,6.8,3.2,5.9,2.3
0,5.7,3.8,1.7,0.3
0,5.1,3.8,1.5,0.3
1,6.0,2.7,5.1,1.6
2,7.7,2.8,6.7,2.0
0,4.4,3.0,1.3,0.2
1,6.2,2.2,4.5,1.5
0,4.7,3.2,1.3,0.2
0,5.4,3.4,1.5,0.4
2,6.7,3.1,5.6,2.4
1,6.4,3.2,4.5,1.5
2,7.6,3.0,6.6,2.1
0,5.5,3.5,1.3,0.2
2,6.5,3.2,5.1,2.0
0,5.0,3.6,1.4,0.2
2,6.9,3.1,5.1,2.3
0,5.1,3.5,1.4,0.2
1,6.6,2.9,4.6,1.3
0,5.4,3.9,1.7,0.4
2,6.3,2.9,5.6,1.8
2,7.2,3.0,5.8,1.6
0,4.5,2.3,1.3,0.3
2,4.9,2.5,4.5,1.7
2,5.6,2.8,4.9,2.0
2,7.2,3.2,6.0,1.8
1,6.7,3.1,4.7,1.5
0,4.8,3.1,1.6,0.2
1,6.7,3.1,4.4,1.4
0,5.1,3.8,1.9,0.4
0,5.2,3.5,1.5,0.2
1,5.5,2.4,3.8,1.1
2,5.7,2.5,5.0,2.0
0,5.0,3.4,1.5,0.2
2,6.8,3.0,5.5,2.1
0,4.4,2.9,1.4,0.2
1,6.1,2.8,4.7,1.2
2,6.7,3.3,5.7,2.5
2,7.7,2.6,6.9,2.3
1,5.7,2.8,4.1,1.3
